parcel_idx,label,hemi,tau_mean,rho_mean,tau_r2_mean,rho_r2_mean,x,y,z,tau_resid,rho_resid
0,7Networks_LH_Cont_Cing_1-lh,lh,0.0159671375220931,0.5992231464879649,0.8151478182034957,0.9999051212051828,-2.225671791832552,3.6683418127521312,30.230103321564503,0.0011954705644636292,-0.002403945998981749
1,7Networks_LH_Cont_Cing_2-lh,lh,0.007889065676682454,0.6026882271006626,0.846091241587019,0.99988324521791,-3.1809476000639414,-21.0075277193948,29.78528140953138,-0.005241145044449115,0.0015708921454649083
2,7Networks_LH_Cont_OFC_1-lh,lh,0.025648993309527714,0.6055891522429053,0.5157805776423923,0.9998978067592128,-27.72670631495984,46.75480225866392,-14.109120785780847,0.005076537348330978,-0.0017342242166280553
3,7Networks_LH_Cont_PFCl_1-lh,lh,0.025884444846794898,0.6057130669297008,0.5482260247614257,0.9998965073710571,-42.23302016870068,46.22517440858052,-4.52016727584215,0.006108570479830832,-0.0007338209464806678
4,7Networks_LH_Cont_PFCl_2-lh,lh,0.014840406061219408,0.6061029124598811,0.700776988647855,0.9998895978411126,-45.096832626477806,32.46106359431174,10.39753443662044,-0.002955885726720932,0.0014671808657316099
5,7Networks_LH_Cont_PFCl_3-lh,lh,0.016257991453178026,0.604694160254452,0.6895429614166876,0.9998954741245073,-39.34782922495966,46.15311339668606,11.77650232563848,-0.0024061337440958418,-6.867132933741082e-05
6,7Networks_LH_Cont_PFCl_4-lh,lh,0.019583005137575982,0.603843303486225,0.6679488323339526,0.9999017011038102,-28.39669974502809,50.5418346111591,12.993818799157047,0.000632728085183807,-0.0008107364359035696
7,7Networks_LH_Cont_PFCl_5-lh,lh,0.011665984336356178,0.6054110927021741,0.7804621608511725,0.9998871501701488,-42.35231753906917,35.688901406168284,20.877683296881088,-0.005642391481461178,0.0017906072525429861
8,7Networks_LH_Cont_PFCl_6-lh,lh,0.011703803409609595,0.6040044205716889,0.7936071536909547,0.9998926642567114,-42.86352279989477,21.123559542518247,25.78900273088465,-0.004278424630637285,0.0012122750200043164
9,7Networks_LH_Cont_PFCl_7-lh,lh,0.012790095234391638,0.6021220565177927,0.818823725625066,0.9999012040175976,-37.14715568504142,6.909435672052142,31.01085873065482,-0.0019103287347593517,0.00023011660477201268
10,7Networks_LH_Cont_PFCl_8-lh,lh,0.009885729894795473,0.6049078419443444,0.8236783487293095,0.9998873790687034,-37.89648876758601,31.07452515734742,36.07220465300099,-0.00609106339568153,0.0029748471082038375
11,7Networks_LH_Cont_PFCmp_1-lh,lh,0.01367523184210813,0.5998998155815367,0.8337809932978034,0.999902075346308,-4.862709725057924,25.65371003708282,45.29731506991696,-0.0015213189916839856,-0.0007140182330599432
12,7Networks_LH_Cont_PFCv_1-lh,lh,0.024982929189651757,0.6061126031759928,0.5594078105607181,0.9998928708404874,-33.10543285536419,18.18721230956968,-9.939000995639953,0.0066635166120905635,-0.00017646825673500732
13,7Networks_LH_Cont_Par_1-lh,lh,0.013159416451986757,0.5973163984576765,0.7902642237022811,0.9999125299871839,-28.972550839407567,-72.08451705061768,36.627593393065496,0.004124431940970839,-0.0021394595718711162
14,7Networks_LH_Cont_Par_2-lh,lh,0.007852403418096631,0.6049310437555924,0.867600387444201,0.9998827132290237,-57.43772529241607,-45.16406984404316,42.6297962684331,-0.0023925620439512844,0.005252478891402457
15,7Networks_LH_Cont_Par_3-lh,lh,0.008393473855508742,0.603569484953648,0.8603335758984888,0.9998862520182078,-51.70714798822522,-53.06946920254301,39.308137758384994,-0.001586162005881582,0.003777145238127111
16,7Networks_LH_Cont_Par_4-lh,lh,0.017213982659755635,0.5957481429610668,0.7708995470523691,0.9999252267142208,-33.01249050057453,-60.82633115703933,41.58812086132989,0.007789185000835341,-0.0034903251064819507
17,7Networks_LH_Cont_Par_5-lh,lh,0.012820477996360154,0.5998717147315514,0.8341921860648172,0.9999056882926464,-41.75459424227369,-54.409667524385625,40.20693772838962,0.002926156009381061,0.0002785726265134292
18,7Networks_LH_Cont_Par_6-lh,lh,0.013427825587925026,0.5992392599167583,0.8321127784678611,0.9999079009297049,-44.24843875250716,-44.61400144608295,42.80799689728426,0.0030688851550549658,-0.0003315270516036639
19,7Networks_LH_Cont_Temp_1-lh,lh,0.005638525799377201,0.607578331396258,0.8762464467901174,0.999867030797907,-60.02472139294152,-49.59256503171226,-10.852849359675368,-0.00798660441894081,0.0025326465221121586
20,7Networks_LH_Cont_pCun_1-lh,lh,0.01324555536882736,0.5963920168921091,0.722545430946422,0.9999105914441754,-10.760401704632644,-75.83670678375461,43.22303682016143,0.004796610316717005,-0.002165395005219617
21,7Networks_LH_Cont_pCun_2-lh,lh,0.013609178306921875,0.5957922330324503,0.7428428337664319,0.999916340974171,-7.017724206677307,-60.92232099007134,51.415970837159016,0.004694414607626417,-0.002241575395983464
22,7Networks_LH_Default_PFC_1-lh,lh,0.03212594236955891,0.6049058479413704,0.5581997701274698,0.9999035690291361,-35.41555273520814,22.084490812704704,-15.082578042399652,0.013203548249232918,-0.002013905331116228
23,7Networks_LH_Default_PFC_10-lh,lh,0.009240452759648587,0.6078080789520452,0.8257011282242763,0.9998790584199425,-53.244488806094765,19.86821067858042,10.648061996735867,-0.007633364994198453,0.0034218010719682113
24,7Networks_LH_Default_PFC_11-lh,lh,0.01315541440768384,0.6078917629061895,0.7511645760862031,0.9998860575016114,-16.652498448100907,64.12688667021891,10.012552964724776,-0.006997370042076198,0.0027153440658725936
25,7Networks_LH_Default_PFC_12-lh,lh,0.02073373968128419,0.5984243932397828,0.7827546486272262,0.9999156491705415,-5.448136830848746,30.143438312911176,21.237053693985988,0.003575077113834136,-0.004747221146844227
26,7Networks_LH_Default_PFC_13-lh,lh,0.013634872050353816,0.6016575041125358,0.8309666924816941,0.9998985809872374,-5.358658399160932,49.0758804926848,27.355037936937627,-0.004379568108271654,-0.0013217585153668665
27,7Networks_LH_Default_PFC_14-lh,lh,0.011245410413292252,0.604340938963806,0.8223258564827913,0.9998876324517911,-16.577720333903617,54.36081275852045,30.122063154449112,-0.006858697696975197,0.0014361713421944255
28,7Networks_LH_Default_PFC_15-lh,lh,0.013148032073895527,0.6034227674932542,0.7887976898622514,0.9998954621130871,-24.65000903312796,44.89307394795034,28.692124938338456,-0.004361222150803945,0.0005256214683317939
29,7Networks_LH_Default_PFC_16-lh,lh,0.011866972112203264,0.6025600721501895,0.8182458046691969,0.9998972731157605,-26.229546386109305,26.803473117083488,38.6378469975037,-0.0037230410472400832,0.001076154664271023
30,7Networks_LH_Default_PFC_17-lh,lh,0.008677779333999635,0.6039827143923561,0.8584011539732963,0.9998883757444684,-41.33548079856023,18.13569087818757,45.765911541195216,-0.005732324013545174,0.003305465129717744
31,7Networks_LH_Default_PFC_18-lh,lh,0.010185768974051303,0.6045947701896461,0.8385185905404279,0.9998861496371887,-9.74775480605409,42.90992183266523,48.448833176237855,-0.005924813211535103,0.0038707841389810094
32,7Networks_LH_Default_PFC_19-lh,lh,0.012532195118537195,0.6018025392129115,0.8205838240538504,0.9998981825554496,-20.882703936010376,34.39732618116795,42.4120461313348,-0.003345721392969467,0.0005714016339616323
33,7Networks_LH_Default_PFC_2-lh,lh,0.026045544263752957,0.6082865506158885,0.5155777278665775,0.9998936398005703,-34.73836611879283,36.41457536713831,-13.202855249931073,0.006281142686694337,0.0012368771951218882
34,7Networks_LH_Default_PFC_20-lh,lh,0.009733420715665315,0.6026224528426086,0.8425584206566402,0.9998926689148526,-42.85162354774601,4.787632482870184,45.78667462540932,-0.0037639382394207537,0.002239834165018606
35,7Networks_LH_Default_PFC_21-lh,lh,0.010396306935657218,0.6026870551942843,0.8324058425472475,0.9998948239948121,-32.034395758731605,13.224192363553328,52.6139647658696,-0.0032717993413536456,0.0028913849989238294
36,7Networks_LH_Default_PFC_22-lh,lh,0.013122994076872901,0.601148724207847,0.8271368834350935,0.9999017080084559,-25.162960916195274,17.890900521908165,47.82930414931579,-0.0012372937973508785,0.0008125147708849534
37,7Networks_LH_Default_PFC_23-lh,lh,0.011037177718354827,0.603586919715768,0.8352928121762276,0.9998898053493793,-13.077377486804217,25.03736183790356,58.38545190233328,-0.003157613377926081,0.004256731484596377
38,7Networks_LH_Default_PFC_24-lh,lh,0.009970852582821219,0.6010131342028394,0.8525106905718668,0.999890569379823,-7.39856478587175,10.489577521097202,63.66846887148344,-0.00291512953246093,0.002596696449041702
39,7Networks_LH_Default_PFC_3-lh,lh,0.020393842241541095,0.605433806298943,0.6141346093289984,0.9998969149515958,-4.724587174592722,52.44956600132273,-9.9265980175121,-0.00042944621401010477,-0.001415150553240041
40,7Networks_LH_Default_PFC_4-lh,lh,0.043501390372888825,0.6021236930775754,0.634932202937716,0.9999192920216302,-5.289522376148108,34.716976993096935,-8.594936791273296,0.023971000015808454,-0.004189787858665195
41,7Networks_LH_Default_PFC_5-lh,lh,0.023749122356859876,0.6063179369075961,0.5260140660126134,0.9998923862326417,-46.50230795114152,33.41523071644838,-10.048385246944758,0.00448474531413047,-0.0004331607218257538
42,7Networks_LH_Default_PFC_6-lh,lh,0.022695114499996505,0.6048076538944275,0.5909861234697573,0.999898162220723,-28.767925863574675,53.433223522907625,0.9124134181494138,0.002717124704512665,-0.0011458446566235958
43,7Networks_LH_Default_PFC_7-lh,lh,0.017607761472233825,0.6071812602854485,0.6481840500467515,0.9998887844200234,-46.10304853360947,27.4919744831242,1.4340034216095388,-0.0004658289074418731,0.0017379286849985576
44,7Networks_LH_Default_PFC_8-lh,lh,0.014313593905967533,0.6037044831497594,0.7679743446528037,0.999894121168028,-7.544467431338713,54.49682205118597,7.529713835653562,-0.00542229175350472,-0.0014347897665579756
45,7Networks_LH_Default_PFC_9-lh,lh,0.024783485094558116,0.6006229159795744,0.6758163287449797,0.999910113130475,-6.932250439334702,41.64669330303486,7.384135745438122,0.005900846293005836,-0.004233534482194767
46,7Networks_LH_Default_Par_1-lh,lh,0.008909322606727268,0.6038817137193079,0.8426684999689814,0.9998837851432362,-57.383010887272576,-49.72522937550264,12.918316185204691,-0.0030817014148811234,0.0012809723098202719
47,7Networks_LH_Default_Par_2-lh,lh,0.013675483478430053,0.5978736806345729,0.8462807730200899,0.9999091323222613,-42.824573299427726,-57.85325620582066,17.128322882973468,0.002425712754971514,-0.0040001653050858454
48,7Networks_LH_Default_Par_3-lh,lh,0.007858334779828145,0.6025444363776893,0.8447760626362374,0.9998855804782347,-42.61979447022183,-75.7570265501533,24.6785933005728,-0.0016623694603562032,0.0018493909725019186
49,7Networks_LH_Default_Par_4-lh,lh,0.010545326554869528,0.6024654181951766,0.8384086495259705,0.999896390302372,-42.58179975369058,-63.030436059429306,27.82130876127773,0.0003824747624845779,0.001800707115616862
50,7Networks_LH_Default_Par_5-lh,lh,0.009034008718153895,0.6038912063492771,0.8419800072028817,0.9998862759353557,-54.131188492661074,-55.54472807411835,25.30252821497457,-0.0017301841163970804,0.0027098262698249664
51,7Networks_LH_Default_Par_6-lh,lh,0.008266404878601285,0.6022276617103212,0.854080241107543,0.9998896110102042,-39.05635863200874,-73.46306570016654,40.98188612567392,-0.0003063955563113816,0.0031686691462491368
52,7Networks_LH_Default_Par_7-lh,lh,0.008724122974221718,0.6032190631957817,0.8519088661216205,0.9998883812966043,-47.452882282069474,-63.57486788952937,41.60346452525405,-0.0004164573926796304,0.0039329541825215975
53,7Networks_LH_Default_Temp_1-lh,lh,0.01438934987346851,0.6080787674542015,0.6780638770219466,0.9998804976024016,-55.9116706111005,-7.6435819522878115,-27.64751808117361,-0.0032561581866642954,0.0003979508372946583
54,7Networks_LH_Default_Temp_10-lh,lh,0.010934399235829275,0.6053903432379898,0.813958437832591,0.999888057309169,-52.29275311985409,-44.45777504342105,3.683274732517424,-0.0020849191437093424,0.0017682326844548069
55,7Networks_LH_Default_Temp_2-lh,lh,0.00746696253023317,0.6084305913803015,0.858035479141026,0.9998713000269152,-61.790484664840825,-23.34326415926764,-21.159731723702887,-0.00863057737760365,0.001722981067495799
56,7Networks_LH_Default_Temp_3-lh,lh,0.006159483381540693,0.6087373711201072,0.8637727019918571,0.9998680682523874,-58.37601721091349,-38.36302311433469,-20.80113221778244,-0.008922444443713567,0.002435102804500877
57,7Networks_LH_Default_Temp_4-lh,lh,0.0098011948617765,0.6100035748775732,0.7990429246404981,0.9998757052727911,-56.184116394907726,-16.283339937164754,-14.49555316398523,-0.006350211170786706,0.0038573138967208376
58,7Networks_LH_Default_Temp_5-lh,lh,0.013532013478208559,0.605742047904883,0.7218341813539708,0.9998832603768583,-56.14723524146419,-0.4664827350988786,-11.205865896063736,-0.003459982562961098,-0.00042935649250530616
59,7Networks_LH_Default_Temp_6-lh,lh,0.007060604554585197,0.6080431499996799,0.8646913006688209,0.999871973307871,-58.67622828198444,-38.53217578000066,-5.0871125535864685,-0.00692175807891752,0.0033431252650797383
60,7Networks_LH_Default_Temp_7-lh,lh,0.011387671241196192,0.6059217134643956,0.7793783849169563,0.9998833085343788,-51.35545365942661,-28.308782433717383,-6.800510683236047,-0.0034527357054953134,0.0008708244220178019
61,7Networks_LH_Default_Temp_8-lh,lh,0.007520553100096235,0.6083199313364323,0.8614738743011344,0.9998732813645618,-61.78149339379368,-16.813580985261474,-3.943987178188997,-0.007827920693578998,0.003217238106009379
62,7Networks_LH_Default_Temp_9-lh,lh,0.007955828427298396,0.6062645830350055,0.8577319570448929,0.9998766228653413,-61.810173705013,-35.032639649363446,2.062868429731705,-0.00574739447940263,0.002188848335890059
63,7Networks_LH_Default_pCunPCC_1-lh,lh,0.01193211582215479,0.6018092337950226,0.766697406730631,0.9998935780762761,-7.1763669689368585,-54.03647287252248,7.499414140005204,-0.00048181639894547164,-0.0008563346379043546
64,7Networks_LH_Default_pCunPCC_10-lh,lh,0.015143004663680768,0.5943017370607213,0.6611898261953215,0.9999209952946382,-4.11859862944659,-65.55800170732219,41.53012864522165,0.005838287541757317,-0.00461097201598859
65,7Networks_LH_Default_pCunPCC_11-lh,lh,0.01734398741647002,0.5935722260232402,0.7016805218058098,0.9999285248188898,-7.123247340262015,-49.818272388727465,42.59006779616111,0.007070332418535542,-0.005614561958191211
66,7Networks_LH_Default_pCunPCC_2-lh,lh,0.01460780253152216,0.5996854911659566,0.7270237927075194,0.9999055091350714,-14.11254913537572,-62.67526649996493,17.11080800938307,0.0034882378513814236,-0.0018578220580892646
67,7Networks_LH_Default_pCunPCC_3-lh,lh,0.015109249570976082,0.5969311280233484,0.6552535991262625,0.9999131819756549,-3.2310558035969734,-54.12389100514925,20.204847374023537,0.003552718749746459,-0.004407644761994178
68,7Networks_LH_Default_pCunPCC_4-lh,lh,0.008999464214063014,0.6031074412044047,0.8320146730417466,0.9998859737041915,-4.187172914616038,-39.83902543355404,24.192996006833308,-0.0032392508662814797,0.0018419029052288982
69,7Networks_LH_Default_pCunPCC_5-lh,lh,0.019590333885398506,0.5926074248067837,0.4876439374043467,0.9999314132927516,-12.182870918188613,-68.88448113755297,30.34756563875241,0.009791771836901518,-0.00743104026965502
70,7Networks_LH_Default_pCunPCC_6-lh,lh,0.017659515545364615,0.5933735760350527,0.5811779879807982,0.9999266797897993,-6.210162707089527,-59.21063153043514,29.97880504757839,0.007142057302116473,-0.006876697070989257
71,7Networks_LH_Default_pCunPCC_7-lh,lh,0.011498633860393122,0.6010788825143404,0.8154662962162115,0.9998994183658861,-7.397917231708242,-43.84895533288432,33.774448196790374,0.00021456162429613762,0.0008558948725153614
72,7Networks_LH_Default_pCunPCC_8-lh,lh,0.011332021645822242,0.6002392049202491,0.8408399768233589,0.9998990428343997,-2.999572497981412,-31.003679178811453,39.53711645419781,-0.0004506007867966129,0.0003445036730638229
73,7Networks_LH_Default_pCunPCC_9-lh,lh,0.012842277654106388,0.5997288827100766,0.840344406514664,0.9999052596157166,-1.8576950583632528,-14.542882574504793,39.12657913627014,-8.762472251316357e-05,-0.0005740053048089999
74,7Networks_LH_DorsAttn_FEF_1-lh,lh,0.009838765499876785,0.6015997501754285,0.8193470447299992,0.9998988591687117,-42.38063602239867,-4.416281575106394,49.41332086471154,-0.002789801950710014,0.0018000058630952553
75,7Networks_LH_DorsAttn_FEF_2-lh,lh,0.013928024153307291,0.5989084481784206,0.8539033793156322,0.9999127363846532,-26.209761056873607,-0.553784114816239,51.04001641735806,0.0010418374819105396,-0.0006883760453476606
76,7Networks_LH_DorsAttn_FEF_3-lh,lh,0.012111588370486757,0.5994566064320404,0.7733770915388255,0.9999121486050561,-30.667170245005902,-7.23287867207125,49.05226208024236,-0.00043098326646005304,-0.00022498271459725494
77,7Networks_LH_DorsAttn_FEF_4-lh,lh,0.012335109695146597,0.598942787201999,0.8458306343099545,0.9999060118226988,-21.806398165744284,5.312929678721981,59.09587647811226,-0.00042007332654797266,6.695630125252983e-05
78,7Networks_LH_DorsAttn_Post_1-lh,lh,0.00830351391348764,0.6082170282587922,0.8318981783065998,0.9998766402628487,-44.205691876883705,-41.47907080056187,-24.02837216130461,-0.006886915933924794,0.0017668072434110504
79,7Networks_LH_DorsAttn_Post_10-lh,lh,0.014620497319559238,0.5968899337221351,0.7957950457023371,0.9999194308798943,-27.93978271047577,-56.96442309226698,45.037484685883264,0.005139122390435142,-0.002045900277539925
80,7Networks_LH_DorsAttn_Post_11-lh,lh,0.015435019188625755,0.5979152936396228,0.7755413173197335,0.9999195123801705,-35.27278000163281,-38.49769673009557,44.12522832990632,0.004693566496435861,-0.0015912047864037326
81,7Networks_LH_DorsAttn_Post_12-lh,lh,0.014125984302734762,0.5987890755984084,0.7916306714105231,0.9999115627649454,-34.70367788801006,-51.61386739818099,51.68537143632477,0.0047886309115863935,0.00035607548193594685
82,7Networks_LH_DorsAttn_Post_13-lh,lh,0.01297219111126785,0.5965200076090355,0.7559261494675094,0.9999120381861533,-15.236237032457543,-69.27501632643431,54.09764610619516,0.004862184129552992,-0.001113897765935068
83,7Networks_LH_DorsAttn_Post_14-lh,lh,0.01132318941369873,0.5990205437260068,0.8128095007499379,0.9999048752696864,-26.62689025998897,-60.30824582261152,58.1833988004712,0.00296727951149269,0.0015102118850671697
84,7Networks_LH_DorsAttn_Post_15-lh,lh,0.011958064804119903,0.598179043015508,0.8000761890462957,0.9999069806371752,-9.955279937660416,-57.18201072912648,61.73898947549618,0.003524172901048804,0.0010887800014302007
85,7Networks_LH_DorsAttn_Post_16-lh,lh,0.011293232294486638,0.59908143206318,0.8115357651698766,0.9999059079861227,-20.9414129970836,-53.92451153709775,63.16374481616377,0.0028121850111852715,0.0019769514980186864
86,7Networks_LH_DorsAttn_Post_17-lh,lh,0.009056709942325067,0.6010475260685898,0.8321361691987079,0.9998948271477381,-15.386701867096406,-50.276124586138806,70.73036589658349,0.0008148161971461756,0.0046736858552477445
87,7Networks_LH_DorsAttn_Post_2-lh,lh,0.008074618521167672,0.6075282237293352,0.8490345521482844,0.9998770960430577,-47.15596871878233,-54.06269714307735,-15.919451797095528,-0.005685940214010619,0.002168002397241686
88,7Networks_LH_DorsAttn_Post_3-lh,lh,0.006083735904905176,0.608011821089037,0.8731077167915421,0.9998710252819182,-53.2125022771322,-62.25397700136548,-3.8142905067428297,-0.006246247600970883,0.004024496301247571
89,7Networks_LH_DorsAttn_Post_4-lh,lh,0.007107979713398151,0.6034554718900172,0.8712690760512257,0.9998822252356957,-46.47895984177876,-67.84704178719133,11.128987582749277,-0.0038571176136176126,0.0011699963666051971
90,7Networks_LH_DorsAttn_Post_5-lh,lh,0.01853234215247525,0.5931525217392599,0.6999968491802095,0.9999358635448712,-26.4475365004726,-69.29530358625301,27.30186345190976,0.008647429679891216,-0.007297324002894068
91,7Networks_LH_DorsAttn_Post_6-lh,lh,0.009505323316516493,0.602448567057439,0.8538128535734631,0.9998922821531419,-50.50214662977085,-33.157821261654995,40.64988930574648,-0.001733854595763057,0.0023483672425712587
92,7Networks_LH_DorsAttn_Post_7-lh,lh,0.015042620667455932,0.5962255177767753,0.7537996597213189,0.9999202187931263,-23.56977437251323,-64.05671753754487,42.030502046121136,0.005802633831498949,-0.0028211096045526185
93,7Networks_LH_DorsAttn_Post_8-lh,lh,0.016335685105033342,0.5964676271758129,0.8000664605875947,0.9999255037962882,-41.80453570444181,-31.00647144860758,38.730709529601945,0.004759835321606055,-0.003809737497201815
94,7Networks_LH_DorsAttn_Post_9-lh,lh,0.01700376889788077,0.5966855707732229,0.7925624579306477,0.9999224792418467,-33.93362460633502,-47.70593910757332,38.35676895789658,0.006476162860596433,-0.003188265052606165
95,7Networks_LH_DorsAttn_PrCv_1-lh,lh,0.011425246975444616,0.6016387252337875,0.815183070398644,0.9998971152925614,-47.97324231275872,6.2063375440996085,24.471581162030425,-0.003606510063587264,-0.000987172084922494
96,7Networks_LH_DorsAttn_PrCv_2-lh,lh,0.01007258736549933,0.6024597332718588,0.8362680499689435,0.9998976734812972,-49.70606513484832,0.9781463359288248,36.64115305562173,-0.0037533939607866315,0.0011792435392738998
97,7Networks_LH_Limbic_OFC_1-lh,lh,0.029777308519025172,0.6053440302784296,0.5968446695573447,0.9999049112315518,-13.292980548075713,21.18468537236926,-21.08755740952804,0.010351056917226268,-0.0019955507331106404
98,7Networks_LH_Limbic_OFC_2-lh,lh,0.03536961177941121,0.6025087940322812,0.5925879614146544,0.9999073538471618,-23.89638536037197,21.985710938771565,-20.290748986126232,0.01601603946337397,-0.004850012349007504
